brand,product_name,month,category,retail_price,discounted_price,discount_percent,is_FK_Advantage_product,product_rating,overall_rating
,Lyc White Casual Boots,December 2015,Footwear,1199.0,899.0,25.0208507089241,False,5.0,5.0
,Myra Comfortable Boots,December 2015,Footwear,1049.0,499.0,52.430886558627265,False,,
,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",December 2015,Watches,2000.0,699.0,65.05,False,,
,Get Glamr Designer Uggy Boots,December 2015,Footwear,3499.0,2799.0,20.005715918833953,False,,
,Kielz Ladies Boots,December 2015,Footwear,2299.0,899.0,60.89604175728578,False,,
,Kielz Ladies Boots,December 2015,Footwear,1999.0,999.0,50.025012506253134,False,,
,Rochees RW50 Analog Watch  - For Boys,December 2015,Watches,1120.0,952.0,15.0,False,,
,Kielz Ladies Boots,December 2015,Footwear,2799.0,1299.0,53.59056806002144,False,,
,Salt N Pepper 13-516 Greta Red Boots,December 2015,Footwear,3495.0,2621.0,25.007153075822604,False,,
,Fluid DMF-002-GR01 Digital Watch  - For Boys,December 2015,Watches,1699.0,849.0,50.02942907592701,True,3.5,3.5
,Steppings Trendy Boots,December 2015,Footwear,1599.0,639.0,60.0375234521576,False,,
,Rialto Boots,December 2015,Footwear,3295.0,2395.0,27.31411229135053,False,,
,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",December 2015,Watches,1099.0,399.0,63.69426751592356,False,,
Regular,Wrangler Regular Fit Men's Jeans,December 2015,Clothing,3295.0,1812.0,45.007587253414265,False,,
,Steppings Trendy Boots,December 2015,Footwear,3499.0,2274.0,35.010002857959414,False,,
,"Disney DW100230 Digital Watch  - For Boys, Girls",December 2015,Watches,350.0,350.0,0.0,False,,
,Salt N Pepper 13-167 Marsha Red Boots,December 2015,Footwear,3695.0,2771.0,25.006765899864682,False,,
,Bruno Manetti Cannelita Boots,December 2015,Footwear,3399.0,1359.0,60.01765225066195,False,4.4,4.4
,Stylistry Maxis Shde6603brwoboot3104 Boots,December 2015,Footwear,2199.0,1599.0,27.285129604365622,False,,
,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",December 2015,Watches,1200.0,399.0,66.75,False,,
,"Felix Y 39 Analog Watch  - For Boys, Men",December 2015,Watches,1550.0,525.0,66.12903225806451,False,,
,Kielz Boots,December 2015,Footwear,2999.0,2399.0,20.00666888962988,False,,
,Kielz Ladies Boots,December 2015,Footwear,2299.0,899.0,60.89604175728578,False,,
,Sakay Country Leather Boots,December 2015,Footwear,3999.0,3499.0,12.503125781445362,False,,
,La Briza Black Boots,December 2015,Footwear,2299.0,2069.0,10.004349717268378,False,,
,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",December 2015,Watches,375.0,263.0,29.86666666666667,False,5.0,5.0
,"Franck Bella FB0128B Analog Watch  - For Men, Boys",December 2015,Watches,1199.0,959.0,20.016680567139282,False,,
,Steppings Trendy Boots,December 2015,Footwear,2199.0,1099.0,50.022737608003645,False,,
,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",December 2015,Watches,475.0,333.0,29.894736842105264,True,4.0,4.0
,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",December 2015,Watches,1095.0,595.0,45.662100456621005,False,,
,La Briza Mile Boots,December 2015,Footwear,3999.0,3999.0,0.0,False,,
,"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",December 2015,Watches,3999.0,899.0,77.51937984496125,False,,
,Sneha Unique Boots,December 2015,Footwear,1799.0,899.0,50.0277932184547,False,,
,Timer TC_-_690143 Analog Watch  - For Boys,December 2015,Watches,1299.0,549.0,57.736720554272516,False,,
Regular,NE Regular Fit Men's Jeans,December 2015,Clothing,4999.0,1899.0,62.0124024804961,False,,
,Shuz Touch Boots,December 2015,Footwear,2995.0,2995.0,0.0,False,,
,Kielz Ladies Boots,December 2015,Footwear,2499.0,1149.0,54.021608643457384,False,3.5,3.5
